address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
148 S Barrington Ave,American Restaurant,Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.4690173,12,12,USD,2015-10-23T03:57:26Z,,"Pizza, Margherita",The Brentwood,90049,USD,50,55,Brentwood
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
148 S Barrington Ave,American Restaurant,Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.4690173,13,13,USD,2015-10-23T03:57:26Z,,"Pizza, Mushroom",The Brentwood,90049,USD,50,55,Brentwood
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
148 S Barrington Ave,American Restaurant,Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.4690173,13,13,USD,2015-10-23T03:57:26Z,"Olives, onions, capers, tomatoes","Pizza, Puttenesca",The Brentwood,90049,USD,50,55,Brentwood
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
148 S Barrington Ave,American Restaurant,Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.4690173,15,15,USD,2015-10-23T03:57:26Z,,"Pizza, Salami Piccante",The Brentwood,90049,USD,50,55,Brentwood
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
148 S Barrington Ave,American Restaurant,Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.4690173,15,15,USD,2015-10-23T03:57:26Z,,"Pizza, White Truffle Meat Sauce",The Brentwood,90049,USD,50,55,Brentwood
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
801 Saint Emanuel St,Bar,Houston,US,us/tx/houston/801saintemanuelst/960946322,29.75247947,-95.35416442,9.95,9.95,USD,2016-06-18T15:32:15Z,Choose any of your own toppings to make it your own,Create Your Own Pizza,Lucky's Pub,77003,USD,25,40,TX
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
200 E Chestnut St,Italian Restaurant,Chicago,US,us/ontariostreet/chicago/200echestnutst/833773736,41.89854289,-87.6219955,10.99,10.99,USD,2016-01-12T23:21:20Z,,Pizza Margherita,Francesca's On Chestnut,60611,USD,25,40,Ontario Street
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
200 E Chestnut St,Italian Restaurant,Chicago,US,us/ontariostreet/chicago/200echestnutst/833773736,41.89854289,-87.6219955,10.99,10.99,USD,2016-04-24T00:00:00Z,,Pizza Margherita,Francesca's On Chestnut,60611,USD,25,40,Ontario Street
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
26900 Newport Rd,Italian Restaurant,Menifee,US,us/ca/menifee/26900newportrd/95765161,33.68678191,-117.1903038,8.99,8.99,USD,"2016-03-30T04:25:03Z,2016-05-05T00:55:24Z","BBQ Sauce, Mozzarella Cheese, diced Chicken Breast, Onions",Bbq Chicken Pizza,Giovanni's Pizza and Pasta,92584,USD,25,40,CA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
26900 Newport Rd,Italian Restaurant,Menifee,US,us/ca/menifee/26900newportrd/95765161,33.68678191,-117.1903038,8.99,8.99,USD,"2016-03-30T04:25:03Z,2016-05-05T00:55:24Z",,Breakfast Pizza,Giovanni's Pizza and Pasta,92584,USD,25,40,CA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
26900 Newport Rd,Italian Restaurant,Menifee,US,us/ca/menifee/26900newportrd/95765161,33.68678191,-117.1903038,8.99,8.99,USD,"2016-03-30T04:25:03Z,2016-05-05T00:55:24Z",,Cadillac Pizza,Giovanni's Pizza and Pasta,92584,USD,25,40,CA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
26900 Newport Rd,Italian Restaurant,Menifee,US,us/ca/menifee/26900newportrd/95765161,33.68678191,-117.1903038,8.99,8.99,USD,"2016-03-30T04:25:03Z,2016-05-05T00:55:24Z",,Hawaiin Pizza,Giovanni's Pizza and Pasta,92584,USD,25,40,CA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
26900 Newport Rd,Italian Restaurant,Menifee,US,us/ca/menifee/26900newportrd/95765161,33.68678191,-117.1903038,8.99,8.99,USD,"2016-03-30T04:25:03Z,2016-05-05T00:55:24Z",,Pesto Chicken Pizza,Giovanni's Pizza and Pasta,92584,USD,25,40,CA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
26900 Newport Rd,Italian Restaurant,Menifee,US,us/ca/menifee/26900newportrd/95765161,33.68678191,-117.1903038,4.59,4.59,USD,"2016-03-30T04:25:03Z,2016-05-05T00:55:24Z",,Pizza Bread,Giovanni's Pizza and Pasta,92584,USD,25,40,CA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
26900 Newport Rd,Italian Restaurant,Menifee,US,us/ca/menifee/26900newportrd/95765161,33.68678191,-117.1903038,8.99,8.99,USD,"2016-03-30T04:25:03Z,2016-05-05T00:55:24Z",,Southwest Pizza,Giovanni's Pizza and Pasta,92584,USD,25,40,CA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
26900 Newport Rd,Italian Restaurant,Menifee,US,us/ca/menifee/26900newportrd/95765161,33.68678191,-117.1903038,8.99,8.99,USD,"2016-03-30T04:25:03Z,2016-05-05T00:55:24Z",,Thai Chicken Pizza,Giovanni's Pizza and Pasta,92584,USD,25,40,CA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
26900 Newport Rd,Italian Restaurant,Menifee,US,us/ca/menifee/26900newportrd/95765161,33.68678191,-117.1903038,8.99,8.99,USD,"2016-03-30T04:25:03Z,2016-05-05T00:55:24Z",,Vegetarian Pizza,Giovanni's Pizza and Pasta,92584,USD,25,40,CA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
2111 Stewart Ave,S,Wausau,US,us/wi/wausau/2111stewartave/723163710,44.95747331,-89.66768203,4.99,4.99,USD,"2016-04-05T02:07:11Z,2016-08-04T16:14:47Z","Pepperoni, marinara, garlic, seasoning and parmesan cheese",Pizza,Philly's Subs,54401,USD,0,25,WI
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
1707 Delaware Ave,Asian Restaurant,Wilmington,US,us/de/wilmington/1707delawareave/1871406172,39.7583638,-75.5626631,12,12,USD,2016-03-29T05:23:07Z,,Tuna Pizza,Satsuma,19806,USD,0,30,DE
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
1707 Delaware Ave,Asian Restaurant,Wilmington,US,us/de/wilmington/1707delawareave/1871406172,39.7583638,-75.5626631,12,12,USD,"2016-08-22T00:00:00Z,2016-04-24T00:00:00Z",,Tuna Pizza,Satsuma,19806,USD,0,30,DE
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
1431 Plaza Pl,Restaurant,Southlake,US,us/tx/southlake/1431plazapl/851666666,32.945053,-97.12952,8.95,8.95,USD,2016-04-24T00:00:00Z,"Boursin, mozzarella, arugula, parmesan",Sausage Onion Jam Pizza,Brio Tuscan Grille - Southlake - Southlake Town Square,76092,USD,0,30,TX
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
3505 A Longmire Dr,Restaurant,College Station,US,us/tx/collegestation/3505longmiredr/1045531984,30.582817,-96.28639,13.99,13.99,USD,"2017-04-07T18:04:57Z,2016-12-01T19:48:10Z",,Cheese Pizza,Doubledave's Pizza Works,77845,USD,0,25,TX
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
3505 A Longmire Dr,Restaurant,College Station,US,us/tx/collegestation/3505longmiredr/1045531984,30.582817,-96.28639,3.99,3.99,USD,"2017-04-07T18:04:57Z,2016-12-01T19:48:10Z",,Chocolate Chip Pizza,Doubledave's Pizza Works,77845,USD,0,25,TX
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
22 Englar Rd,Italian Restaurant,Westminster,US,us/md/westminster/22englarrd/434131710,39.58133698,-76.98956,15.95,9,USD,"2016-03-21T00:01:32Z,2016-06-27T14:06:56Z",,Margherita Pizza,Mediterraneo Ristorante,21157,USD,25,40,MD
